cell_id,center_lat,center_lon,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,ndvi_mean,ndvi_std,ndvi_accel,fragmentation_index,road_length_km,building_count,infra_pressure,urban_proximity_score,dist_to_cbd_km,rainfall_anomaly,rainfall_stress,gbif_observations,gbif_species_count,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label
0,12.7045,77.3045,0.113,0.5839,0.2955,-0.6665,0.4709,-0.2884,-0.484,0.3308,0.23742634647401706,-0.7593,0.7177,0.0,0,0.0,0.022627,43.1946,124.62999999999988,0,0.0,0.0,0.0,0.2,0.2519,stable
1,12.7045,77.3135,0.2557,0.0966,0.0403,-0.5862,-0.1590999999999999,-0.0563,-0.8016,0.13086666666666666,0.11171366672584572,0.1027999999999999,0.8536,0.0,0,0.0,0.022993,42.4911,56.040899653979245,0,0.0,0.0,0.0,0.2236,0.3941,at_risk
2,12.7045,77.3225,0.3322,0.4778,0.2408,-0.3515,0.1456,-0.237,-0.4428999999999999,0.35026666666666667,0.11952846244026288,-0.3826,0.3412,0.0,0,0.0,0.023365,41.7985,56.040899653979245,0,0.0,0.0,0.0,0.1054,0.2122,stable
3,12.7045,77.3315,0.0146,0.3895,0.3282,-0.7779,0.3749,-0.0613,-0.4643,0.24409999999999998,0.20110223768024066,-0.43620000000000003,0.8238,0.0,0,0.0,0.023743,41.1174,56.040899653979245,0,0.0,0.0,0.0,0.2334,0.2502,stable
4,12.7045,77.3405,0.1946,0.3476,0.3024,-0.4171,0.153,-0.0452,-0.3093,0.28153333333333336,0.07860542814165784,-0.1982,0.2792,0.0,0,0.0,0.024126,40.4483,56.040899653979245,0,0.0,0.0,0.0,0.1251,0.1523,stable
5,12.7045,77.3495,0.0262,0.2459,0.3425,-0.6424,0.2197,0.0966,-0.3260999999999999,0.20486666666666667,0.1620932550519402,-0.1231,0.7912,0.0,0,0.0,0.024515,39.7917,88.69000000000005,0,0.0,0.0,0.0,0.1927,0.1901,stable
6,12.7045,77.3585,0.2606,0.2977,0.1925,-0.4995,0.0371,-0.1052,-0.5676,0.2502666666666667,0.05335581817696486,-0.1423,0.2132,0.0,0,0.0,0.024908,39.1485,56.040899653979245,0,0.0,0.0,0.0,0.1498,0.2574,stable
7,12.7045,77.3675,0.3387,0.6991,0.4097,-0.3698,0.3604,-0.2894,-0.2988,0.4825,0.19091076449482888,-0.6497999999999999,0.3957,0.0,0,0.0,0.025304,38.5191,56.040899653979245,0,0.0,0.0,0.0,0.1109,0.1551,stable
8,12.7045,77.3765,0.2503,0.5071,0.292,-0.3404999999999999,0.2568,-0.2151,-0.2988,0.34980000000000006,0.13781215476147232,-0.4719,0.394,0.0,0,0.0,0.025704,37.9044,56.040899653979245,0,0.0,0.0,0.0,0.1021,0.155,stable
9,12.7045,77.3855,0.1801,0.3877,0.3131,-0.5128999999999999,0.2075999999999999,-0.0746,-0.3798999999999999,0.29363333333333336,0.10516013186247596,-0.2821999999999999,0.3581,0.0,0,0.0,0.026106,37.305,56.040899653979245,0,0.0,0.0,0.0,0.1539,0.1872,stable
10,12.7045,77.3945,0.2528,0.1571,0.0961,-0.2532999999999999,-0.0957,-0.0609999999999999,-0.41,0.16866666666666666,0.07898774166497821,0.03470000000000009,0.4683,0.0,0,0.0,0.02651,36.7217,74.73000000000002,0,0.0,0.0,0.0,0.1047,0.2066,stable
11,12.7045,77.4035,0.2957,0.1449,0.1236,-0.5054000000000001,-0.1508,-0.0213,-0.6775,0.1880666666666667,0.09381963191855602,0.1295,0.4989,0.0,0,0.0,0.026914,36.1552,56.040899653979245,0,0.0,0.0,0.0,0.1969,0.3214,stable
12,12.7045,77.4125,0.1185,0.7986,0.4482,-0.7727999999999999,0.6800999999999999,-0.3504,-0.4431,0.4551,0.34010249925573904,-1.0305,0.7473,0.0,0,0.0,0.027318,35.6064,56.040899653979245,0,0.0,0.0,0.0,0.2318,0.2374,stable
